***********************************************************
* PhotonsTot     : 781
* PhotonsDet     : 53
* MaxIndex       : 16   16
* Baseline       : 6488.87      6485.53
* Maximum        : 1235.45      1828.68
* MaxTime        : 16.4495      15.9682
* WeightedArrival: 7.60428      9.25682
* MinimumArrival : 4.31606      4.36491
***********************************************************
0       6488    6501
4       6581    6487
8       6463    6496
12      6580    6474
16      6552    6520
20      6411    6519
24      6510    6490
28      6574    6552
32      6394    6506
36      6407    6405
40      6401    6513
44      6481    6392
48      6444    6435
52      6499    6447
56      6548    6546
60      6750    6777
64      7630    8313
68      7582    7492
72      6588    6916
76      6612    6622
80      6496    6453
84      6512    6421
88      6501    6458
92      6550    6570
96      6537    6516
100     6426    6476
104     6515    6530
108     6558    6431
112     6401    6393
116     6517    6548
120     6500    6543
124     6505    6470
128     6491    6568
132     6452    6486
136     6511    6415
140     6541    6486
144     6573    6421
148     6439    6414
152     6567    6525
156     6517    6530
160     6406    6510
164     6564    6432
168     6532    6489
172     6407    6424
176     6481    6406
180     6577    6497
184     6466    6532
188     6534    6409
192     6526    6558
196     6477    6422
200     6540    6542
204     6577    6512
208     6477    6397
212     6540    6541
216     6480    6584
220     6436    6443
224     6425    6475
228     6497    6452
232     6477    6575
236     6558    6453
240     6492    6521
244     6501    6520
248     6580    6535
252     6527    6563
256     6472    6575
260     6419    6486
264     6556    6436
268     6528    6437
272     6422    6585
276     6578    6437
280     6420    6583
284     6495    6575
288     6467    6410
292     6567    6427
296     6518    6453
300     6469    6542
304     6501    6519
308     6390    6487
312     6460    6527
316     6539    6453
320     6412    6541
324     6519    6425
328     6407    6521
332     6450    6411
336     6545    6562
340     6472    6416
344     6410    6423
348     6456    6477
352     6436    6490
356     6563    6437
360     6520    6487
364     6406    6410
368     6484    6454
372     6565    6517
376     6579    6439
380     6406    6533
384     6405    6502
388     6407    6574
392     6514    6518
396     6560    6470
***********************************************************
* PhotonsTot     : 749
* PhotonsDet     : 54
* MaxIndex       : 17   17
* Baseline       : 6481.67      6501
* Maximum        : 1964.48      1307.29
* MaxTime        : 17.04        17.017
* WeightedArrival: 6.84466      6.38869
* MinimumArrival : 4.76661      4.84788
***********************************************************
0       6561    6570
4       6537    6527
8       6425    6496
12      6422    6528
16      6546    6509
20      6572    6392
24      6532    6583
28      6409    6485
32      6576    6515
36      6553    6469
40      6405    6503
44      6409    6416
48      6423    6416
52      6466    6536
56      6389    6570
60      7061    6566
64      7540    7131
68      8444    7808
72      6743    6500
76      6547    6474
80      6531    6545
84      6558    6527
88      6531    6473
92      6568    6578
96      6504    6454
100     6429    6442
104     6537    6460
108     6444    6523
112     6413    6555
116     6532    6474
120     6561    6513
124     6439    6439
128     6462    6494
132     6539    6511
136     6444    6425
140     6584    6537
144     6416    6501
148     6548    6425
152     6490    6500
156     6430    6504
160     6583    6575
164     6574    6531
168     6484    6570
172     6455    6402
176     6543    6406
180     6514    6402
184     6493    6585
188     6396    6576
192     6474    6501
196     6585    6456
200     6460    6550
204     6423    6410
208     6417    6563
212     6420    6513
216     6527    6513
220     6582    6520
224     6486    6557
228     6581    6454
232     6580    6520
236     6394    6575
240     6551    6460
244     6454    6465
248     6560    6536
252     6547    6547
256     6562    6537
260     6396    6456
264     6526    6452
268     6429    6428
272     6506    6554
276     6535    6530
280     6450    6533
284     6490    6476
288     6434    6468
292     6391    6569
296     6433    6432
300     6489    6505
304     6394    6435
308     6400    6405
312     6411    6479
316     6419    6508
320     6458    6580
324     6570    6548
328     6482    6585
332     6403    6571
336     6525    6412
340     6538    6435
344     6567    6556
348     6536    6394
352     6453    6392
356     6537    6524
360     6543    6531
364     6488    6541
368     6571    6487
372     6519    6419
376     6461    6559
380     6440    6438
